INFO:root:Loaded ViT-B-16-plus-240 model config.
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for VINE: 7
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for VINES: 13
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for VINS: 7
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for VIBE: 9
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for VIS: 6
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NE: 2
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NEE: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for NET: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for NETT: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NEVE: 7
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for NEVI: 7
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for NIT: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NITE: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for NITES: 10
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Final score for NIB: 5
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Final score for NIL: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for NILS: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for TITHE: 13
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for TITI: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for TITIS: 10
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for TUTEE: 10
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for TUTEES: 16
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for UT: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for UTE: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for UTES: 4
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 25
DEBUG:root:Final score for UVEITIS: 25
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for IN: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for INS: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for INSET: 10
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for INN: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for INNS: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for IS: 2
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NINE: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for NINES: 10
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for BUT: 5
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for BUTE: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BUTES: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for BUTT: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BUTTE: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 18
DEBUG:root:Final score for BUTTES: 18
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for BI: 4
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for BIT: 5
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for BITE: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BITES: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for BITT: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for BIN: 5
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for BINE: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BINES: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for BINS: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for BIS: 5
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for BE: 4
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for BET: 5
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for BLUE: 6
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BLUET: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 21
DEBUG:root:Final score for BLITHE: 21
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for BLITE: 12
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 18
DEBUG:root:Final score for BLITES: 18
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for BLIN: 6
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for LUTE: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for LUTES: 10
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Final score for LUV: 6
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for LUVS: 7
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for LUBE: 6
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for LI: 2
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for LIT: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for LITHE: 13
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for LITE: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for LITES: 10
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Final score for LITU: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for LIVE: 7
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for LIVES: 13
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for LIVEN: 13
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: V, Base Score: 4
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 19
DEBUG:root:Final score for LIVENS: 19
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for LIN: 3
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for LINE: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for LINES: 10
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for LINS: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for LINN: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for LINNS: 10
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for LINNET: 16
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Final score for LIB: 5
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for LIS: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for SI: 2
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for SIT: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for SITH: 7
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SITE: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for SITES: 10
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for SIN: 3
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SINE: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for SINES: 10
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Final score for SINS: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for SINNET: 16
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Final score for SIB: 5
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for SLUT: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for SLUE: 4
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: B, Base Score: 3
DEBUG:root:Final score for SLUB: 6
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for SLIT: 4
INFO:root:Loaded ViT-B-16-plus-240 model config.
INFO:root:Loading pretrained ViT-B-16-plus-240 weights (laion400m_e32).
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NE: 2
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NEE: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NINE: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for NINTH: 13
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for NIENTE: 16
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for NIT: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for NITON: 10
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NITE: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for NITES: 10
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for NO: 2
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for NOO: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for NOT: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for NOTE: 4
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for NOTES: 10
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for NTH: 6
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for ON: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for ONE: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for ONTO: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for OOT: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for OI: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for EN: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: W, Base Score: 4
DEBUG:root:Final score for EEEW: 7
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for EH: 5
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for IN: 2
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for INN: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for INTO: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Final score for INTI: 4
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for ION: 3
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for IT: 2
DEBUG:root:Letter: T, Base Score: 1
